Well,Well Position,Sample Name,Target Name,CT,Plate
337,O1,NTC,ActinB,34.068,1
1,A1,WT RT,ActinB,,1
2,A2,WT RT,ActinB,,1
49,C1,WT cDNA,ActinB,15.109,1
50,C2,WT cDNA,ActinB,15.07,1
97,E1,Sib RT,ActinB,,1
98,E2,Sib RT,ActinB,,1
145,G1,Sib cDNA,ActinB,15.417,1
146,G2,Sib cDNA,ActinB,15.402,1
193,I1,Rys RT,ActinB,34.352,1
194,I2,Rys RT,ActinB,,1
241,K1,Rys cDNA,ActinB,15.501,1
242,K2,Rys cDNA,ActinB,15.739,1
339,O3,NTC,H2A,,1
3,A3,WT RT,H2A,33.444,1
4,A4,WT RT,H2A,33.617,1
51,C3,WT cDNA,H2A,26.262,1
52,C4,WT cDNA,H2A,26.192,1
99,E3,Sib RT,H2A,33.17,1
100,E4,Sib RT,H2A,34.645,1
147,G3,Sib cDNA,H2A,26.671,1
148,G4,Sib cDNA,H2A,26.17,1
195,I3,Rys RT,H2A,34.201,1
196,I4,Rys RT,H2A,34.222,1
243,K3,Rys cDNA,H2A,24.881,1
244,K4,Rys cDNA,H2A,24.172,1
341,O5,NTC,H2B,,1
5,A5,WT RT,H2B,34.847,1
6,A6,WT RT,H2B,33.73,1
53,C5,WT cDNA,H2B,25.624,1
54,C6,WT cDNA,H2B,25.479,1
101,E5,Sib RT,H2B,34.288,1
102,E6,Sib RT,H2B,33.995,1
149,G5,Sib cDNA,H2B,25.632,1
150,G6,Sib cDNA,H2B,25.348,1
197,I5,Rys RT,H2B,35.269,1
198,I6,Rys RT,H2B,34.038,1
245,K5,Rys cDNA,H2B,22.454,1
246,K6,Rys cDNA,H2B,22.365,1
343,O7,NTC,H3,,1
7,A7,WT RT,H3,31.884,1
8,A8,WT RT,H3,32.233,1
55,C7,WT cDNA,H3,23.879,1
56,C8,WT cDNA,H3,24.089,1
103,E7,Sib RT,H3,32.433,1
104,E8,Sib RT,H3,32.406,1
151,G7,Sib cDNA,H3,24.51,1
152,G8,Sib cDNA,H3,24.209,1
199,I7,Rys RT,H3,33.338,1
200,I8,Rys RT,H3,34.059,1
247,K7,Rys cDNA,H3,23.273,1
248,K8,Rys cDNA,H3,22.933,1
345,O9,NTC,H4,,1
9,A9,WT RT,H4,36.352,1
10,A10,WT RT,H4,36.63,1
57,C9,WT cDNA,H4,19.659,1
58,C10,WT cDNA,H4,19.877,1
105,E9,Sib RT,H4,35.535,1
106,E10,Sib RT,H4,35.781,1
153,G9,Sib cDNA,H4,19.934,1
154,G10,Sib cDNA,H4,20.014,1
201,I9,Rys RT,H4,36.193,1
202,I10,Rys RT,H4,36.121,1
249,K9,Rys cDNA,H4,19.666,1
250,K10,Rys cDNA,H4,19.745,1
361,P1,NTC,ActinB,,2
25,B1,WT RT,ActinB,34.483,2
26,B2,WT RT,ActinB,,2
73,D1,WT cDNA,ActinB,15.565,2
74,D2,WT cDNA,ActinB,15.546,2
121,F1,Sib RT,ActinB,,2
122,F2,Sib RT,ActinB,,2
169,H1,Sib cDNA,ActinB,16.09,2
170,H2,Sib cDNA,ActinB,15.817,2
217,J1,Rys RT,ActinB,,2
218,J2,Rys RT,ActinB,,2
265,L1,Rys cDNA,ActinB,16.291,2
266,L2,Rys cDNA,ActinB,16.169,2
363,P3,NTC,H2A,,2
27,B3,WT RT,H2A,33.519,2
28,B4,WT RT,H2A,34.066,2
75,D3,WT cDNA,H2A,26.962,2
76,D4,WT cDNA,H2A,27.075,2
123,F3,Sib RT,H2A,35.188,2
124,F4,Sib RT,H2A,34.152,2
171,H3,Sib cDNA,H2A,27.188,2
172,H4,Sib cDNA,H2A,27.567,2
219,J3,Rys RT,H2A,35.006,2
220,J4,Rys RT,H2A,32.731,2
267,L3,Rys cDNA,H2A,26.349,2
268,L4,Rys cDNA,H2A,26.777,2
365,P5,NTC,H2B,,2
29,B5,WT RT,H2B,35.335,2
30,B6,WT RT,H2B,35.645,2
77,D5,WT cDNA,H2B,26.127,2
78,D6,WT cDNA,H2B,26.217,2
125,F5,Sib RT,H2B,34.945,2
126,F6,Sib RT,H2B,33.853,2
173,H5,Sib cDNA,H2B,25.702,2
174,H6,Sib cDNA,H2B,25.549,2
221,J5,Rys RT,H2B,36.786,2
222,J6,Rys RT,H2B,34.12,2
269,L5,Rys cDNA,H2B,,2
270,L6,Rys cDNA,H2B,22.049,2
369,P9,NTC,H3,,2
33,B9,WT RT,H3,33.953,2
34,B10,WT RT,H3,35.208,2
81,D9,WT cDNA,H3,26.376,2
82,D10,WT cDNA,H3,26.096,2
129,F9,Sib RT,H3,33.946,2
130,F10,Sib RT,H3,33.588,2
177,H9,Sib cDNA,H3,25.051,2
178,H10,Sib cDNA,H3,24.9,2
225,J9,Rys RT,H3,34.936,2
226,J10,Rys RT,H3,33.858,2
273,L9,Rys cDNA,H3,24.328,2
274,L10,Rys cDNA,H3,24.329,2
367,P7,NTC,H4,,2
31,B7,WT RT,H4,35.885,2
32,B8,WT RT,H4,36.155,2
79,D7,WT cDNA,H4,19.383,2
80,D8,WT cDNA,H4,19.533,2
127,F7,Sib RT,H4,34.544,2
128,F8,Sib RT,H4,34.961,2
175,H7,Sib cDNA,H4,,2
176,H8,Sib cDNA,H4,19.767,2
223,J7,Rys RT,H4,33.396,2
224,J8,Rys RT,H4,36.951,2
271,L7,Rys cDNA,H4,19.934,2
272,L8,Rys cDNA,H4,19.657,2
,A1,WT cDNA,ActinB,15.495,3
,A2,WT cDNA,ActinB,15.96,3
,C1,Sib cDNA,ActinB,15.891,3
,C2,Sib cDNA,ActinB,15.378,3
,E1,Rys cDNA,ActinB,15.532,3
,E2,Rys cDNA,ActinB,15.728,3
,A3,WT cDNA,H2A,25.826,3
,A4,WT cDNA,H2A,25.777,3
,C3,Sib cDNA,H2A,25.988,3
,C4,Sib cDNA,H2A,25.936,3
,E3,Rys cDNA,H2A,24.285,3
,E4,Rys cDNA,H2A,24.204,3
,A5,WT cDNA,H2B,26.075,3
,A6,WT cDNA,H2B,25.983,3
,C5,Sib cDNA,H2B,25.521,3
,C6,Sib cDNA,H2B,25.635,3
,E5,Rys cDNA,H2B,22.776,3
,E6,Rys cDNA,H2B,22.901,3
,A7,WT cDNA,H3,19.902,3
,A8,WT cDNA,H3,19.727,3
,C7,Sib cDNA,H3,20.001,3
,C8,Sib cDNA,H3,19.39,3
,E7,Rys cDNA,H3,19.305,3
,E8,Rys cDNA,H3,19.27,3
,A9,WT cDNA,H4,24.846,3
,A10,WT cDNA,H4,24.829,3
,C9,Sib cDNA,H4,24.525,3
,C10,Sib cDNA,H4,24.399,3
,E9,Rys cDNA,H4,23.277,3
,E10,Rys cDNA,H4,24.073,3
