Sample,Detector,Ct,Plate
NTC,ActinB,,1
NTC,ActinB,,1
Rys cDNA 10x,ActinB,19.588242,1
Rys cDNA 10x,ActinB,19.82034,1
Rys RT- 10x,ActinB,30.662931,1
Rys RT- 10x,ActinB,31.000294,1
Sib cDNA 10x,ActinB,20.097801,1
Sib cDNA 10x,ActinB,20.119337,1
Sib RT- 10x,ActinB,29.814741,1
Sib RT- 10x,ActinB,29.880075,1
WT cDNA 10x,ActinB,19.694996,1
WT cDNA 10x,ActinB,19.81693,1
WT RT- 10x,ActinB,30.16494,1
WT RT- 10x,ActinB,30.90315,1
NTC,H2B,,1
NTC,H2B,,1
Rys cDNA 10x,H2B,19.836424,1
Rys cDNA 10x,H2B,19.763496,1
Rys RT- 10x,H2B,27.442497,1
Rys RT- 10x,H2B,27.425798,1
Sib cDNA 10x,H2B,20.92886,1
Sib cDNA 10x,H2B,20.909752,1
Sib RT- 10x,H2B,26.212765,1
Sib RT- 10x,H2B,26.177706,1
WT cDNA 10x,H2B,20.585533,1
WT cDNA 10x,H2B,20.54654,1
WT RT- 10x,H2B,27.082312,1
WT RT- 10x,H2B,27.110086,1
NTC,H2A,,1
NTC,H2A,,1
Rys cDNA 10x,H2A,19.692183,1
Rys cDNA 10x,H2A,19.731567,1
Rys RT- 10x,H2A,26.148666,1
Rys RT- 10x,H2A,26.05848,1
Sib cDNA 10x,H2A,20.47049,1
Sib cDNA 10x,H2A,20.616848,1
Sib RT- 10x,H2A,24.825527,1
Sib RT- 10x,H2A,24.78828,1
WT cDNA 10x,H2A,19.80463,1
WT cDNA 10x,H2A,20.94697,1
WT RT- 10x,H2A,25.757399,1
WT RT- 10x,H2A,25.736483,1
NTC,H3,,1
NTC,H3,,1
Rys cDNA 10x,H3,18.442839,1
Rys cDNA 10x,H3,18.517977,1
Rys RT- 10x,H3,26.844765,1
Rys RT- 10x,H3,26.965736,1
Sib cDNA 10x,H3,19.938477,1
Sib cDNA 10x,H3,19.925554,1
Sib RT- 10x,H3,25.526932,1
Sib RT- 10x,H3,25.641766,1
WT cDNA 10x,H3,19.243906,1
WT cDNA 10x,H3,19.335407,1
WT RT- 10x,H3,26.454647,1
WT RT- 10x,H3,26.702847,1
NTC,H4,,1
NTC,H4,,1
Rys cDNA 10x,H4,20.412292,1
Rys cDNA 10x,H4,20.581833,1
Rys RT- 10x,H4,25.693514,1
Rys RT- 10x,H4,25.740065,1
Sib cDNA 10x,H4,20.34486,1
Sib cDNA 10x,H4,20.50811,1
Sib RT- 10x,H4,24.379602,1
Sib RT- 10x,H4,24.581263,1
WT cDNA 10x,H4,20.072716,1
WT cDNA 10x,H4,19.999775,1
WT RT- 10x,H4,25.31648,1
WT RT- 10x,H4,25.244926,1
NTC,ActinB,,2
Rys cDNA 10x,ActinB,21.20602,2
Rys cDNA 10x,ActinB,21.030313,2
Rys RT- 10x,ActinB,,2
Rys RT- 10x,ActinB,34.008846,2
Sib cDNA 10x,ActinB,20.22553,2
Sib cDNA 10x,ActinB,20.195124,2
Sib RT- 10x,ActinB,,2
Sib RT- 10x,ActinB,35.01692,2
WT cDNA 10x,ActinB,19.741312,2
WT cDNA 10x,ActinB,,2
WT RT- 10x,ActinB,36.86066,2
WT RT- 10x,ActinB,35.354156,2
NTC,H2B,,2
Rys cDNA 10x,H2B,22.458347,2
Rys cDNA 10x,H2B,22.443716,2
Rys RT- 10x,H2B,36.01218,2
Rys RT- 10x,H2B,36.1092,2
Sib cDNA 10x,H2B,22.594185,2
Sib cDNA 10x,H2B,22.58583,2
Sib RT- 10x,H2B,35.97443,2
Sib RT- 10x,H2B,36.09382,2
WT cDNA 10x,H2B,22.268188,2
WT cDNA 10x,H2B,22.270308,2
WT RT- 10x,H2B,36.301228,2
WT RT- 10x,H2B,36.05443,2
NTC,H2A,,2
Rys cDNA 10x,H2A,23.89096,2
Rys cDNA 10x,H2A,23.69668,2
Rys RT- 10x,H2A,36.977497,2
Rys RT- 10x,H2A,35.695496,2
Sib cDNA 10x,H2A,23.377033,2
Sib cDNA 10x,H2A,23.471468,2
Sib RT- 10x,H2A,35.496685,2
Sib RT- 10x,H2A,35.482647,2
WT cDNA 10x,H2A,22.583317,2
WT cDNA 10x,H2A,23.094038,2
WT RT- 10x,H2A,35.628464,2
