Well Position,Sample Name,Target Name,CT,Plate
G1,WT cDNA,ActinB,15.123,1
G2,WT cDNA,ActinB,15.192,1
I1,Sib cDNA,ActinB,15.433,1
I2,Sib cDNA,ActinB,15.322,1
K1,Rys cDNA,ActinB,15.565,1
K2,Rys cDNA,ActinB,15.477,1
G3,WT cDNA,H2A,28.358,1
G4,WT cDNA,H2A,28.305,1
I3,Sib cDNA,H2A,27.852,1
I4,Sib cDNA,H2A,27.851,1
K3,Rys cDNA,H2A,25.481,1
K4,Rys cDNA,H2A,25.376,1
G5,WT cDNA,H2B,27.102,1
G6,WT cDNA,H2B,27.007,1
I5,Sib cDNA,H2B,26.75,1
I6,Sib cDNA,H2B,26.966,1
K5,Rys cDNA,H2B,23.07,1
K6,Rys cDNA,H2B,23.166,1
G7,WT cDNA,H3,19.877,1
G8,WT cDNA,H3,19.911,1
I7,Sib cDNA,H3,20.218,1
I8,Sib cDNA,H3,19.855,1
K7,Rys cDNA,H3,19.911,1
K8,Rys cDNA,H3,19.845,1
G9,WT cDNA,H4,26.662,1
G10,WT cDNA,H4,26.684,1
I9,Sib cDNA,H4,26.133,1
I10,Sib cDNA,H4,26.249,1
K9,Rys cDNA,H4,24.267,1
K10,Rys cDNA,H4,24.21,1
A12,WT cDNA,ActinB,16.91,2
A13,WT cDNA,ActinB,16.419,2
C12,Sib cDNA,ActinB,16.474,2
C13,Sib cDNA,ActinB,16.258,2
E12,Rys cDNA,ActinB,16.502,2
E13,Rys cDNA,ActinB,16.297,2
A14,WT cDNA,H2A,29.946,2
A15,WT cDNA,H2A,29.292,2
C14,Sib cDNA,H2A,29.072,2
C15,Sib cDNA,H2A,28.764,2
E14,Rys cDNA,H2A,25.672,2
E15,Rys cDNA,H2A,25.511,2
A16,WT cDNA,H2B,28.418,2
A17,WT cDNA,H2B,28.342,2
C16,Sib cDNA,H2B,27.159,2
C17,Sib cDNA,H2B,27.014,2
E16,Rys cDNA,H2B,24.297,2
E17,Rys cDNA,H2B,24.158,2
A18,WT cDNA,H3,21.867,2
A19,WT cDNA,H3,21.917,2
C18,Sib cDNA,H3,21.746,2
C19,Sib cDNA,H3,21.62,2
E18,Rys cDNA,H3,21.375,2
E19,Rys cDNA,H3,21.149,2
A20,WT cDNA,H4,26.999,2
A21,WT cDNA,H4,15.557,2
C20,Sib cDNA,H4,26.374,2
C21,Sib cDNA,H4,,2
E20,Rys cDNA,H4,23.843,2
E21,Rys cDNA,H4,,2
G12,WT cDNA,ActinB,15.377,3
G13,WT cDNA,ActinB,15.582,3
I12,Sib cDNA,ActinB,15.467,3
I13,Sib cDNA,ActinB,15.287,3
K12,Rys cDNA,ActinB,15.422,3
K13,Rys cDNA,ActinB,15.545,3
G14,WT cDNA,H2A,28.097,3
G15,WT cDNA,H2A,28.141,3
I14,Sib cDNA,H2A,27.584,3
I15,Sib cDNA,H2A,27.549,3
K14,Rys cDNA,H2A,25.608,3
K15,Rys cDNA,H2A,25.476,3
G16,WT cDNA,H2B,26.713,3
G17,WT cDNA,H2B,26.492,3
I16,Sib cDNA,H2B,25.996,3
I17,Sib cDNA,H2B,25.912,3
K16,Rys cDNA,H2B,23.333,3
K17,Rys cDNA,H2B,23.204,3
G18,WT cDNA,H3,19.89,3
G19,WT cDNA,H3,19.267,3
I18,Sib cDNA,H3,20.405,3
I19,Sib cDNA,H3,20.038,3
K18,Rys cDNA,H3,19.931,3
K19,Rys cDNA,H3,19.747,3
x,WT cDNA,H4,26.546,3
G21,WT cDNA,H4,13.411,3
I20,Sib cDNA,H4,25.328,3
I21,Sib cDNA,H4,,3
K20,Rys cDNA,H4,23.981,3
K21,Rys cDNA,H4,,3
