Treatment,Time,Block,Slide,Row,D/V,PCNA threshold,PCNA,EdU threshold,EdU,Threshold ratio,EdU/PCNA,Systematic Threshold error?,,
Sib,1.5,1,2,1,D,60,80,30,12,0.5,0.15,,1.11111111111111,0.6
Sib,1.5,1,2,1,V,40,63,40,16,1,0.253968253968254,,0.947368421052632,0.65
Sib,1.5,1,2,4,D,60,49,45,10,0.75,0.204081632653061,,1.25,1
Sib,1.5,1,2,4,V,50,24,50,7,1,0.291666666666667,,1.42857142857143,1
Sib,1.5,1,1,3,D,30,71,68,24,2.26666666666667,0.338028169014084,,1.5,0.333333333333333
Sib,1.5,1,1,3,V,30,27,40,8,1.33333333333333,0.296296296296296,,2.8,0.6
Sib,1.5,1,1,5,D,25,55,25,18,1,0.327272727272727,,0.48,0.666666666666667
Sib,1.5,1,1,5,V,30,52,40,15,1.33333333333333,0.288461538461538,,0.666666666666667,0.733333333333333
Rys,1.5,1,1,1,D,35,155,30,10,0.857142857142857,0.064516129032258,,0.8,0.761904761904762
Rys,1.5,1,1,1,V,35,62,35,10,1,0.161290322580645,,0.8,1.02380952380952
Rys,1.5,1,1,2,D,35,86,30,6,0.857142857142857,0.069767441860465,,0.68,1.4
Rys,1.5,1,1,2,V,35,75,40,3,1.14285714285714,0.04,,0.571428571428571,1.4
Rys,1.5,1,1,3,D,35,58,50,13,1.42857142857143,0.224137931034483,,0.657894736842105,1.4
Rys,1.5,1,1,3,V,35,50,173,16,4.94285714285714,0.32,,0.666666666666667,2.4
Rys,1.5,1,1,4,D,35,103,25,8,0.714285714285714,0.077669902912621,,0.733333333333333,1.14583333333333
Rys,1.5,1,1,4,V,35,73,30,2,0.857142857142857,0.027397260273973,,0.761904761904762,1.16666666666667
Rys,1.5,1,1,6,D,75,93,25,2,0.333333333333333,0.021505376344086,,1.02380952380952,0.555555555555556
Rys,1.5,1,1,6,V,35,58,30,0,0.857142857142857,0,,1.4,0.75
Sib,2.5,1,2,1,D,35,68,17,24,0.485714285714286,0.352941176470588,,,
Sib,2.5,1,2,1,V,35,47,20,9,0.571428571428571,0.191489361702128,,,
Sib,2.5,1,2,2,D,35,83,38,29,1.08571428571429,0.349397590361446,,,
