Time point (d),Block,Slide,Row,Nasal CMZ (#),Temporal CMZ (#),N/T Ratio
3,1,1,3,44.6666666666667,71,0.629107981220657
3,1,1,4,39,74.6666666666667,0.522321428571429
3,2,1,3,48.3333333333333,76.6666666666667,0.630434782608696
3,1,1,1,51,109,0.467889908256881
3,1,1,2,58.3333333333333,88.3333333333333,0.660377358490566
3,1,3,1,32.3333333333333,94,0.343971631205674
23,1,2,1,80.3333333333333,174,0.461685823754789
23,1,2,2,73.3333333333333,150.333333333333,0.48780487804878
23,1,3,3,99.3333333333333,180.666666666667,0.549815498154982
23,2,3,2,89,137,0.64963503649635
23,2,3,4,47.6666666666667,99.3333333333333,0.479865771812081
23,2,4,1,72.3333333333333,118,0.612994350282486
90,1,2,2,5,0.666666666666667,7.5
90,1,4,1,5,0.333333333333333,15
90,2,3,1,9.25,4,2.3125
90,2,3,2,59.3333333333333,42.6666666666667,1.390625
90,3,4,1,15,3,5
90,3,4,2,5.33333333333333,2.33333333333333,2.28571428571429
180,1,3,1,3.33333333333333,6.33333333333333,0.526315789473684
180,1,3,2,4.66666666666667,2.33333333333333,2
180,2,2,2,8.66666666666667,3,2.88888888888889
180,2,4,1,3.66666666666667,2.5,1.46666666666667
180,4,1,4,5,14.3333333333333,0.348837209302326
180,4,2,3,3.33333333333333,1,3.33333333333333
